;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;Results Summary - All Ballots;;;;;;;;;;;;;;;
;;;;;;;Printed on: 2011/05/27 11:25:36;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;Electoral Event:;;;;;Local Government Elections 2011;;;;;;;;;;
;;;;;;Province:;;;;;Gauteng;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;Municipality:;;;;;TSH - Tshwane Metro [Pretoria];;;;;;;;;;
;;;;;;Ward:;;;;;All Wards;;;;;;;;;;
;;;;;;Voting District:;;;;;All Voting Districts;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Party Name;;;Ward;;;;PR ;;;;"Total 
(Ward + PR)";;;;DC 40%;;"Total - All Ballots
(Ward + PR + DC 40%)";;;
;;;;"Total 
Valid 
Votes";"% Total
Valid 
Votes";;;"Total 
Valid 
Votes";"% Total
Valid 
Votes";;;"Total 
Valid 
Votes";"% Total
Valid 
Votes";;;"Total 
Valid 
Votes";"% Total
Valid 
Votes";"Total 
Valid 
Votes";"% Total
Valid 
Votes";;
;AFRICAN CHRISTIAN ALLIANCE-AFRIKANER CHRISTEN ALLIANSIE;;;1 002;0,14%;;;633;0.09 %;;;1 635;0,11%;;;-;-;1 635;0,11%;;
;AFRICAN CHRISTIAN DEMOCRATIC PARTY;;;4 880;0,67%;;;4,267;0.59 %;;;9 147;0,63%;;;-;-;9 147;0,63%;;
;AFRICAN NATIONAL CONGRESS;;;391 954;54,18%;;;408,413;56.46 %;;;800 367;55,32%;;;-;-;800 367;55,32%;;
;AFRICAN PEOPLE'S CONVENTION;;;2 529;0,35%;;;3,335;0.46 %;;;5 864;0,41%;;;-;-;5 864;0,41%;;
;AZANIAN PEOPLE'S ORGANISATION;;;1 495;0,21%;;;1,308;0.18 %;;;2 803;0,19%;;;-;-;2 803;0,19%;;
;BLACK CONSCIOUSNESS PARTY;;;244;0,03%;;;353;0.05 %;;;597;0,04%;;;-;-;597;0,04%;;
;CHRISTIAN DEMOCRATIC PARTY;;;925;0,13%;;;774;0.11 %;;;1 699;0,12%;;;-;-;1 699;0,12%;;
;CHRISTIAN FRONT;;;458;0,06%;;;301;0.04 %;;;759;0,05%;;;-;-;759;0,05%;;
;CONGRESS  OF THE PEOPLE;;;6 661;0,92%;;;6,432;0.89 %;;;13 093;0,90%;;;-;-;13 093;0,90%;;
;DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE;;;278 998;38,56%;;;280,288;38.74 %;;;559 286;38,65%;;;-;-;559 286;38,65%;;
;INDEPENDENT;;;16 833;2,33%;;;-;-;;;16 833;1,16%;;;-;-;16 833;1,16%;;
;INDEPENDENT RATEPAYERS ASSOCIATION OF SA;;;358;0,05%;;;674;0.09 %;;;1 032;0,07%;;;-;-;1 032;0,07%;;
;INKATHA FREEDOM PARTY;;;907;0,13%;;;848;0.12 %;;;1 755;0,12%;;;-;-;1 755;0,12%;;
;MOVEMENT DEMOCRATIC PARTY;;;290;0,04%;;;244;0.03 %;;;534;0,04%;;;-;-;534;0,04%;;
;NATIONAL FREEDOM PARTY;;;119;0,02%;;;491;0.07 %;;;610;0,04%;;;-;-;610;0,04%;;
;PAN AFRICANIST CONGRESS OF AZANIA;;;2 014;0,28%;;;1,813;0.25 %;;;3 827;0,26%;;;-;-;3 827;0,26%;;
;UNITED CHRISTIAN DEMOCRATIC PARTY;;;894;0,12%;;;1,085;0.15 %;;;1 979;0,14%;;;-;-;1 979;0,14%;;
;UNITED DEMOCRATIC MOVEMENT;;;426;0,06%;;;648;0.09 %;;;1 074;0,07%;;;-;-;1 074;0,07%;;
;VRYHEIDSFRONT PLUS;;;12 485;1,73%;;;11,511;1.59 %;;;23 996;1,66%;;;-;-;23 996;1,66%;;
;Total Valid Votes;;;723 472;100,00%;;;723 418;100,00%;;;1 446 890;100,00%;;;-;-;1 446 890;100,00%;;
;Total Spoilt Votes;;;10 091;;;;9 213;;;;19 304;;;;-;;19 304;;;
;Total Votes Cast;;;733 563;;;;732 631;;;;1 466 194;;;;-;;1 466 194;;;
;Total Voter Turnout;;;;;;;;;;;736 009;;;;;;;;;
